,PJ,UTC_TIME,Moon_SIII_LON,FP_LON,FP_LAT,FP_LON_ERR,FP_LAT_ERR,EMISSION_ANGLE,EQ_LEAD_ANGLE,EQ_LEAD_ANGLE_ERR
0,          PJ05        , 2017-03-27T08:03:17        ,174.8,170.5,53.49,0.13,0.7,65.6,2.5649769585253352,0.29953917050690393
1,          PJ07        , 2017-07-11T00:24:36        ,100.78,140.19,58.61,0.25,0.23,28.7,9.18116279069767,0.7267441860465027
2,          PJ07        , 2017-07-11T00:26:39        ,101.88,140.63,58.47,0.25,0.23,29.61,9.002093023255824,0.7267441860465027
3,          PJ07        , 2017-07-11T00:28:11        ,102.7,141.02,58.37,0.25,0.23,30.29,8.688372093023247,0.7267441860464956
4,          PJ07        , 2017-07-11T00:29:12        ,103.25,141.45,58.11,0.24,0.23,30.84,7.980538922155759,0.7120352318618828
5,          PJ07        , 2017-07-11T00:30:14        ,103.79,141.62,58.08,0.24,0.23,31.34,8.011556886227567,0.7185628742515249
6,          PJ07        , 2017-07-11T00:38:55        ,108.45,143.33,57.0,0.23,0.25,36.88,7.546385542168636,0.6927710843373163
7,          PJ07        , 2017-07-11T00:49:09        ,113.92,145.46,55.71,0.21,0.32,45.02,6.600722891566235,0.6325301204819525
8,          PJ08        , 2017-09-01T20:32:42        ,62.4,128.75,72.04,0.19,0.17,15.08,4.304761904761911,0.6462585034013522
9,          PJ08        , 2017-09-01T20:34:42        ,63.47,129.22,71.23,0.18,0.17,14.05,3.7761224489795993,0.6176343776947633
10,          PJ08        , 2017-09-01T21:02:20        ,78.27,132.86,64.92,0.11,0.31,42.67,6.861160220994421,0.3038674033149533
11,          PJ08        , 2017-09-01T21:03:20        ,78.8,133.13,64.81,0.11,0.33,44.8,6.645303867403314,0.3038674033149533
12,          PJ08        , 2017-09-01T21:05:21        ,79.88,133.43,64.6,0.11,0.37,49.25,6.896574585635321,0.3038674033149533
13,          PJ10        , 2017-12-16T16:40:36        ,109.6,144.23,56.62,0.28,0.29,45.58,5.985542168674726,0.8433734939759105
14,          PJ10        , 2017-12-16T16:41:37        ,110.15,144.31,56.58,0.27,0.29,45.31,6.294578313253012,0.8132530120482286
15,          PJ10        , 2017-12-16T16:42:39        ,110.69,144.78,56.45,0.27,0.29,45.36,5.4189156626505905,0.8132530120482215
16,          PJ10        , 2017-12-16T16:43:40        ,111.24,144.84,56.19,0.26,0.3,45.36,5.7881927710843115,0.7831325301204544
17,          PJ10        , 2017-12-16T16:55:55        ,117.81,147.02,55.13,0.2,0.32,46.07,5.8040119760478746,0.5988023952095389
18,          PJ10        , 2017-12-16T16:56:57        ,118.35,147.26,55.09,0.19,0.33,46.34,5.625449101796434,0.5688622754490922
19,          PJ10        , 2017-12-16T17:02:03        ,121.09,148.28,54.66,0.16,0.36,48.75,5.334186046511661,0.46511627906975406
20,          PJ10        , 2017-12-16T17:10:13        ,125.46,149.98,54.49,0.12,0.46,55.38,4.778181818181864,0.3409090909091077
21,          PJ10        , 2017-12-16T17:11:15        ,126.01,150.31,54.37,0.11,0.49,56.71,4.390681818181832,0.31250000000004263
22,          PJ10        , 2017-12-16T17:12:16        ,126.56,150.59,54.32,0.11,0.51,58.02,4.145227272727283,0.31250000000004263
23,          PJ10        , 2017-12-16T17:13:17        ,127.1,150.81,54.24,0.11,0.54,59.43,4.060227272727275,0.31250000000004263
24,          PJ10        , 2017-12-16T17:15:20        ,128.2,151.18,54.35,0.12,0.59,62.15,4.109090909090881,0.3409090909091077
25,          PJ10        , 2017-12-16T17:16:21        ,128.74,151.4,54.43,0.13,0.63,63.58,4.024090909090901,0.3681410095429314
26,          PJ10        , 2017-12-16T17:17:22        ,129.29,151.9,54.34,0.15,0.68,65.32,3.1850276243093703,0.4143646408839885
27,          PJ10        , 2017-12-16T17:18:23        ,129.84,152.17,54.44,0.16,0.72,66.88,2.9891712707182734,0.4419889502762331
28,          PJ10        , 2017-12-16T17:19:25        ,130.38,152.38,54.4,0.18,0.79,68.71,2.9490607734806673,0.4972375690607933
29,          PJ11        , 2018-02-07T12:58:10        ,76.22,131.42,65.71,0.2,0.4,52.44,9.09037037037038,0.6172839506172494
30,          PJ11        , 2018-02-07T13:01:11        ,77.83,131.93,65.34,0.18,0.38,50.87,9.126296296296246,0.5555555555555785
31,          PJ11        , 2018-02-07T13:03:11        ,78.9,132.01,65.01,0.16,0.37,49.82,9.9493827160494,0.49382716049381514
32,          PJ11        , 2018-02-07T13:04:11        ,79.44,132.14,64.77,0.16,0.37,49.43,10.088148148148164,0.49382716049381514
33,          PJ11        , 2018-02-07T13:15:12        ,85.34,134.76,62.99,0.08,0.31,44.19,8.727096774193583,0.215053763440892
34,          PJ11        , 2018-02-07T13:16:12        ,85.87,134.8,62.87,0.08,0.31,43.84,9.149569892473096,0.215053763440892
35,          PJ11        , 2018-02-07T13:17:12        ,86.41,135.15,62.68,0.09,0.3,43.72,8.748709677419342,0.24193548387097508
36,          PJ11        , 2018-02-07T13:21:13        ,88.55,136.13,62.08,0.14,0.29,44.49,8.249453551912609,0.3818526352899312
37,          PJ12        , 2018-04-01T08:55:00        ,31.81,81.77,86.55,0.13,0.18,26.71,8.770317460317461,0.02579365079364848
38,          PJ12        , 2018-04-01T08:56:02        ,32.36,83.58,86.35,0.13,0.17,26.06,8.961190476190477,0.025793650793650258
39,          PJ12        , 2018-04-01T08:58:04        ,33.45,88.67,86.1,0.12,0.16,24.56,9.661382113821144,0.04878048780487987
40,          PJ12        , 2018-04-01T08:59:06        ,34.0,88.55,86.03,0.12,0.15,23.51,10.260162601626021,0.04878048780487987
41,          PJ12        , 2018-04-01T09:01:08        ,35.1,93.46,85.61,0.12,0.14,22.17,9.364227642276429,0.04878048780487987
