,PJ,UTC_TIME,Moon_SIII_LON,FP_LON,FP_LAT,FP_LON_ERR,FP_LAT_ERR,EMISSION_ANGLE,EQ_LEAD_ANGLE,EQ_LEAD_ANGLE_ERR
0,          PJ01        , 2016-08-27T14:04:30        ,25.11,26.72,-64.97,0.18,0.28,36.38,2.7536781609195415,0.2068965517241388
1,          PJ01        , 2016-08-27T14:05:32        ,25.66,27.42,-64.86,0.18,0.28,36.21,2.499080459770113,0.2068965517241388
2,          PJ01        , 2016-08-27T14:06:33        ,26.21,27.78,-64.82,0.19,0.28,35.91,2.6352873563218395,0.21839080459770344
3,          PJ03        , 2016-12-11T17:51:10        ,318.0,329.56,-69.63,0.19,0.21,36.92,4.316425120772919,0.2294685990337939
4,          PJ03        , 2016-12-11T17:52:11        ,318.54,330.1,-69.61,0.18,0.21,36.26,4.204251207729442,0.21739130434781373
5,          PJ03        , 2016-12-11T17:53:11        ,319.08,330.54,-69.45,0.17,0.21,35.92,4.212850241545823,0.20540173819466645
6,          PJ03        , 2016-12-11T17:54:12        ,319.62,331.18,-69.65,0.17,0.21,35.08,3.978353510895829,0.20581113801452489
7,          PJ03        , 2016-12-11T17:55:13        ,320.16,331.42,-69.41,0.16,0.22,35.08,4.2277966101694915,0.1937046004842955
8,          PJ03        , 2016-12-11T17:56:13        ,320.7,332.12,-69.42,0.16,0.22,34.63,3.920338983050783,0.1937046004842955
9,          PJ03        , 2016-12-11T17:57:14        ,321.25,332.58,-69.39,0.15,0.23,34.39,3.913438256658594,0.18159806295398084
10,          PJ03        , 2016-12-11T17:58:14        ,321.79,333.04,-69.35,0.15,0.23,34.2,3.8965375302663006,0.18159806295398084
11,          PJ03        , 2016-12-11T17:59:15        ,322.33,333.63,-69.23,0.15,0.23,34.18,3.7222518159805986,0.18159806295398084
12,          PJ03        , 2016-12-11T18:00:16        ,322.87,333.92,-69.39,0.15,0.24,33.81,3.9111622276028584,0.18159806295398084
